File Name,File Path,File Size,Checksum
210402HM_TR1_P6C10N_R2_411.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P6C10N_R2_411.deduplicated.bam,6665130958,533f7b75db6e8988da9b4fb8274dc6a9
210402HM_TR1_P6G02C_R1_412.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P6G02C_R1_412.deduplicated.bam,6990802057,5a8cae5960eeb4526d3beffae2c57ad5
210402HM_TR1_P6G02C_R2_412.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P6G02C_R2_412.deduplicated.bam,6773905334,0320f0a76d8a0c77ff2b3222c25258cc
210402HM_TR1_P6H09C_R1_413.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P6H09C_R1_413.deduplicated.bam,5617529486,0bb7e5085ff2616da4ea2cf00fdf97ba
210402HM_TR1_P6H09C_R2_413.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P6H09C_R2_413.deduplicated.bam,5431366814,8ba8c7176830b01a5077d89f5a13b225
210402HM_TR1_P7B11C_R1_414.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7B11C_R1_414.deduplicated.bam,1320968173,1b0955b9a750e6d644c62d554518ef59
210402HM_TR1_P7B11C_R2_414.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7B11C_R2_414.deduplicated.bam,1289059465,fceef2e98e37507b452c9e7502cdf492
210402HM_TR1_P7F12C_R1_415.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7F12C_R1_415.deduplicated.bam,8165945215,53992dcad85e027deea5da1d38e86b88
210402HM_TR1_P7F12C_R2_415.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7F12C_R2_415.deduplicated.bam,7887452343,29148582951f414f14a1846606bdb0d7
210402HM_TR1_P7H03C_R1_416.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7H03C_R1_416.deduplicated.bam,6070113962,7b6e1be75669ec52ed5a368f9c4a254d
210402HM_TR1_P7H03C_R2_416.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P7H03C_R2_416.deduplicated.bam,5876248094,e6c940543fc7031de860f3f94d7ce6b9
210402HM_TR1_P8B06C_R1_417.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P8B06C_R1_417.deduplicated.bam,7202071635,f4bfcb8a30d1bbd245aaeda65c16bb4a
210402HM_TR1_P8B06C_R2_417.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P8B06C_R2_417.deduplicated.bam,6954399866,d273339fdb0aaa94726b0260c944d891
210402HM_TR1_P8F01N_R1_418.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P8F01N_R1_418.deduplicated.bam,7990321606,3a022bc31bb7b36c338c62e86a053793
210402HM_TR1_P8F01N_R2_418.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/210402HM_TR1_P8F01N_R2_418.deduplicated.bam,7717895421,f9a10e95b21f6bebd47dd317a58e18ca
220131HM_P7_10_S95_2-P7A12N-CGATGT_R1_val_1_bismark_bt2_288.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_2-P7A12N-CGATGT_R1_val_1_bismark_bt2_288.multiple.deduplicated.bam,4826500129,27d04aef2926523ef12a51984e7e9de8
220131HM_P7_10_S95_2-P7A12N-CGATGT_R2_val_2_bismark_bt2_288.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_2-P7A12N-CGATGT_R2_val_2_bismark_bt2_288.multiple.deduplicated.bam,4967504725,fce13c1b279f76b4e981b6b8bcd1c956
220131HM_P7_10_S95_3-P7B01N-TTAGGC_R1_val_1_bismark_bt2_289.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_3-P7B01N-TTAGGC_R1_val_1_bismark_bt2_289.multiple.deduplicated.bam,9708771919,555762a0cffba220db9337c236962515
220131HM_P7_10_S95_3-P7B01N-TTAGGC_R2_val_2_bismark_bt2_289.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_3-P7B01N-TTAGGC_R2_val_2_bismark_bt2_289.multiple.deduplicated.bam,9859789366,461c3f7f0df754858adf7c5a37351edc
220131HM_P7_10_S95_4-P7B02N-TGACCA_R1_val_1_bismark_bt2_290.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_4-P7B02N-TGACCA_R1_val_1_bismark_bt2_290.multiple.deduplicated.bam,19672866695,862dfb427bd99ee7d6bc7a0314b5ab9f
220131HM_P7_10_S95_4-P7B02N-TGACCA_R2_val_2_bismark_bt2_290.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_10_S95_4-P7B02N-TGACCA_R2_val_2_bismark_bt2_290.multiple.deduplicated.bam,20055768419,e673b0fc25d5b50f6d96e191dafd3035
220131HM_P7_11_S96_1-P7B03N-ATCACG_R1_val_1_bismark_bt2_291.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_1-P7B03N-ATCACG_R1_val_1_bismark_bt2_291.multiple.deduplicated.bam,1622540628,a750148d6c60a5f259751745a20d357c
